in s,C1 in V,C2 in V,C3 in V
-1.0929324E-02,1.883169632827E-02,-8.37827776512E-01,3.671976473914E-02
-1.0929140E-02,1.883286531855E-02,-8.37726229755E-01,3.671917719567E-02
-1.0928956E-02,1.883354086968E-02,-8.37750611780E-01,3.671783119241E-02
-1.0928772E-02,1.882996819288E-02,-8.37582601188E-01,3.671805043040E-02
-1.0928588E-02,1.882981385294E-02,-8.37924212636E-01,3.671749706646E-02
-1.0928404E-02,1.882947503779E-02,-8.37622452481E-01,3.671640968217E-02
-1.0928220E-02,1.882811016825E-02,-8.37758977385E-01,3.671678873977E-02
-1.0928036E-02,1.882430227430E-02,-8.38300385466E-01,3.671658104086E-02
-1.0927852E-02,1.882986236553E-02,-8.37684117677E-01,3.671561559929E-02
-1.0927668E-02,1.882939673218E-02,-8.37828947650E-01,3.671560225809E-02
-1.0927484E-02,1.882922862031E-02,-8.37995510036E-01,3.671610079506E-02
-1.0927300E-02,1.883044414528E-02,-8.37884291494E-01,3.671399829244E-02
-1.0927116E-02,1.883065372429E-02,-8.38096972974E-01,3.671563292654E-02
-1.0926932E-02,1.883051725527E-02,-8.37929260405E-01,3.671548405929E-02
-1.0926748E-02,1.882991611216E-02,-8.38004026981E-01,3.671502558781E-02
-1.0926564E-02,1.883062816415E-02,-8.37650052225E-01,3.671514255727E-02
-1.0926380E-02,1.882812770040E-02,-8.37847846514E-01,3.671554201083E-02
-1.0926196E-02,1.882565130902E-02,-8.37835152587E-01,3.671604327193E-02
-1.0926012E-02,1.882791532975E-02,-8.38461201591E-01,3.671663305989E-02
-1.0925828E-02,1.882677362606E-02,-8.38175611524E-01,3.671783376286E-02
-1.0925644E-02,1.883023072224E-02,-8.37912214873E-01,3.671704113284E-02
-1.0925460E-02,1.883413249467E-02,-8.38236804074E-01,3.671734505134E-02
-1.0925276E-02,1.883475431896E-02,-8.38047284586E-01,3.671817675965E-02
-1.0925092E-02,1.883240061070E-02,-8.38224217249E-01,3.671822349342E-02
-1.0924908E-02,1.883145951739E-02,-8.38455490256E-01,3.671987152459E-02
-1.0924724E-02,1.882983038624E-02,-8.38080299972E-01,3.671941021724E-02
-1.0924540E-02,1.883402954162E-02,-8.38324897876E-01,3.671820630120E-02
-1.0924356E-02,1.883396346428E-02,-8.38119233912E-01,3.671922480023E-02
-1.0924172E-02,1.883452580151E-02,-8.38457127055E-01,3.671879092498E-02
-1.0923988E-02,1.883390359770E-02,-8.38485702360E-01,3.671786300639E-02
-1.0923804E-02,1.882994999949E-02,-8.38325989852E-01,3.671683295896E-02
-1.0923620E-02,1.883409942806E-02,-8.38450670661E-01,3.671900534337E-02
-1.0923436E-02,1.883627734453E-02,-8.38311456563E-01,3.671734105596E-02
-1.0923252E-02,1.883282919022E-02,-8.37753103068E-01,3.671802998321E-02
-1.0923068E-02,1.883503801612E-02,-8.38329617353E-01,3.671789427554E-02
-1.0922884E-02,1.883269547791E-02,-8.38826268399E-01,3.671648327062E-02
-1.0922700E-02,1.883307765544E-02,-8.38362562889E-01,3.671700042008E-02
-1.0922516E-02,1.883644081492E-02,-8.38247840246E-01,3.671842874294E-02
-1.0922332E-02,1.883618099106E-02,-8.38493194850E-01,3.671885768218E-02
-1.0922148E-02,1.883201891280E-02,-8.38277912652E-01,3.671931233523E-02
-1.0921964E-02,1.883196875992E-02,-8.38325256435E-01,3.671955931267E-02
-1.0921780E-02,1.883810549931E-02,-8.38635226199E-01,3.671921092818E-02
-1.0921596E-02,1.883694232165E-02,-8.38339829305E-01,3.671945108367E-02
-1.0921412E-02,1.883504328391E-02,-8.38527583936E-01,3.671891800394E-02
-1.0921228E-02,1.883670590309E-02,-8.38449480897E-01,3.671893853029E-02
-1.0921044E-02,1.883523581972E-02,-8.38476724410E-01,3.671861212501E-02
-1.0920860E-02,1.883378682033E-02,-8.38420381723E-01,3.671586047193E-02
-1.0920676E-02,1.883410964467E-02,-8.38558922941E-01,3.671751489198E-02
-1.0920492E-02,1.883458155979E-02,-8.37904347526E-01,3.671865618123E-02
-1.0920308E-02,1.883423048261E-02,-8.38553626044E-01,3.671643706771E-02
-1.0920124E-02,1.883509962776E-02,-8.37959418958E-01,3.671739097951E-02
-1.0919940E-02,1.884048311811E-02,-8.38230266189E-01,3.671662719255E-02
-1.0919756E-02,1.884250906951E-02,-8.38353065727E-01,3.671848968403E-02
-1.0919572E-02,1.884454956118E-02,-8.38636872312E-01,3.671662922284E-02
-1.0919388E-02,1.884841163250E-02,-8.38508901605E-01,3.671724154880E-02
-1.0919204E-02,1.884818679610E-02,-8.38544904208E-01,3.671661596080E-02
-1.0919020E-02,1.884336234726E-02,-8.38512070430E-01,3.671692737645E-02
-1.0918836E-02,1.884303665095E-02,-8.38456668379E-01,3.671797500258E-02
-1.0918652E-02,1.884385685510E-02,-8.38391256938E-01,3.671728946069E-02
-1.0918468E-02,1.884363776844E-02,-8.38502317155E-01,3.671640003832E-02
-1.0918284E-02,1.885002238749E-02,-8.38958020275E-01,3.671687468687E-02
-1.0918100E-02,1.884374463655E-02,-8.38326385664E-01,3.671566491747E-02
-1.0917916E-02,1.884496497180E-02,-8.38805451011E-01,3.671679292606E-02
-1.0917732E-02,1.884436516630E-02,-8.38976832991E-01,3.671574027078E-02
-1.0917548E-02,1.884514212914E-02,-8.38758589188E-01,3.671617478864E-02
-1.0917364E-02,1.884482336304E-02,-8.38727855543E-01,3.671579402672E-02
-1.0917180E-02,1.884267104048E-02,-8.39017271018E-01,3.671594034215E-02
-1.0916996E-02,1.884282853993E-02,-8.38699131226E-01,3.671573048724E-02
-1.0916812E-02,1.883722859159E-02,-8.38938478800E-01,3.671682110323E-02
-1.0916628E-02,1.883664991780E-02,-8.38743857993E-01,3.671670270419E-02
-1.0916444E-02,1.883438247096E-02,-8.39307457162E-01,3.671777065644E-02
-1.0916260E-02,1.883364558759E-02,-8.38943358930E-01,3.671657067524E-02
-1.0916076E-02,1.883020427733E-02,-8.38569502765E-01,3.671793648308E-02
-1.0915892E-02,1.883753099785E-02,-8.39105700096E-01,3.671894403441E-02
-1.0915708E-02,1.883442276114E-02,-8.38869889220E-01,3.671862169435E-02
-1.0915524E-02,1.883618170236E-02,-8.39219263243E-01,3.671957021380E-02
-1.0915340E-02,1.883528365128E-02,-8.38921179483E-01,3.672004407538E-02
-1.0915156E-02,1.883025127420E-02,-8.38834766718E-01,3.671763924217E-02
-1.0914972E-02,1.883110531562E-02,-8.39011669112E-01,3.671844267553E-02
-1.0914788E-02,1.882711041210E-02,-8.38952322910E-01,3.672040117705E-02
-1.0914604E-02,1.882518188403E-02,-8.39123758441E-01,3.672005303936E-02
-1.0914420E-02,1.882454233666E-02,-8.38831127575E-01,3.671819470158E-02
-1.0914236E-02,1.882398038826E-02,-8.39041701937E-01,3.671858968945E-02
-1.0914052E-02,1.882642199824E-02,-8.38586839335E-01,3.671835792983E-02
