in s,C1 in V,C4 in V
-8.2031432E-03,2.090278808543E+01,-3.86851550904E+00
-8.2029600E-03,2.091287748473E+01,-3.85986341755E+00
-8.2027768E-03,2.092691565448E+01,-3.82024864559E+00
-8.2025936E-03,2.090590918021E+01,-3.84702638150E+00
-8.2024104E-03,2.089633531919E+01,-3.86759398864E+00
-8.2022272E-03,2.091697828429E+01,-3.81015675268E+00
-8.2020440E-03,2.090940650603E+01,-3.84837150234E+00
-8.2018608E-03,2.093018368868E+01,-3.80153938788E+00
-8.2016776E-03,2.091398851531E+01,-3.86447550156E+00
-8.2014944E-03,2.090157870254E+01,-3.84375561154E+00
-8.2013112E-03,2.089899104605E+01,-3.82316810903E+00
-8.2011280E-03,2.092735824225E+01,-3.84902229891E+00
-8.2009448E-03,2.089985426100E+01,-3.81595160472E+00
-8.2007616E-03,2.093120848810E+01,-3.81657623113E+00
-8.2005784E-03,2.090496883778E+01,-3.85657771151E+00
-8.2003952E-03,2.091770581020E+01,-3.86459443145E+00
-8.2002120E-03,2.090879609859E+01,-3.79522616169E+00
-8.2000288E-03,2.092202215506E+01,-3.83621355179E+00
-8.1998456E-03,2.090120877190E+01,-3.83399415188E+00
-8.1996624E-03,2.090140111329E+01,-3.83936250475E+00
-8.1994792E-03,2.091805963827E+01,-3.80320281149E+00
-8.1992960E-03,2.090538481301E+01,-3.81756824101E+00
-8.1991128E-03,2.090929183694E+01,-3.83853160203E+00
-8.1989296E-03,2.091041345200E+01,-3.82062396859E+00
-8.1987464E-03,2.091200539427E+01,-3.86003091591E+00
-8.1985632E-03,2.088789663794E+01,-3.83882153439E+00
-8.1983800E-03,2.091244247327E+01,-3.78544116286E+00
-8.1981968E-03,2.092703212103E+01,-3.84055630895E+00
-8.1980136E-03,2.090156788057E+01,-3.85910250372E+00
-8.1978304E-03,2.092296343813E+01,-3.82768646707E+00
-8.1976472E-03,2.088354604835E+01,-3.83111003214E+00
-8.1974640E-03,2.090553433219E+01,-3.86959707723E+00
-8.1972808E-03,2.091757454494E+01,-3.84564449671E+00
-8.1970976E-03,2.091468027843E+01,-3.84555726671E+00
-8.1969144E-03,2.089497273372E+01,-3.85664245007E+00
-8.1967312E-03,2.091348447422E+01,-3.84596581464E+00
-8.1965480E-03,2.090216228323E+01,-3.82827488831E+00
-8.1963648E-03,2.092095266612E+01,-3.85566940424E+00
-8.1961816E-03,2.091099540753E+01,-3.82737283255E+00
-8.1959984E-03,2.092601764532E+01,-3.85836440730E+00
-8.1958152E-03,2.091588137722E+01,-3.81110805213E+00
-8.1956320E-03,2.090144631037E+01,-3.84243707997E+00
-8.1954488E-03,2.091811177371E+01,-3.81416315106E+00
-8.1952656E-03,2.091527393604E+01,-3.84590672222E+00
